Países,total casos,total muertes,total recuperados
Seychelles,"47,141",169,"46,446"
Andorra,"46,227",155,"46,011"
CuraÃ§ao,"45,127",282,"44,720"
Papua New Guinea,"44,997",668,"43,982"
Aruba,"42,914",227,"42,438"
Mauritius,"40,461","1,024","38,786"
Mayotte,"40,243",187,N/A
Tanzania,"39,440",845,N/A
Togo,"39,034",285,"38,528"
Isle of Man,"38,008",116,N/A
Guinea,"37,652",449,"36,880"
Bahamas,"37,267",833,"36,070"
Faeroe Islands,"34,658",28,N/A
Lesotho,"34,490",706,"25,980"
Haiti,"33,733",857,"31,307"
Mali,"32,625",742,"31,591"
Cayman Islands,"30,661",32,"8,553"
Saint Lucia,"29,408",391,"28,475"
Benin,"27,638",163,"27,322"
Somalia,"27,214","1,352","13,182"
Congo,"24,837",386,"24,006"
Timor-Leste,"23,253",138,"23,102"
Burkina Faso,"21,631",387,"21,143"
Solomon Islands,"21,544",153,"16,357"
San Marino,"20,763",118,"20,524"
Gibraltar,"20,092",108,"16,579"
Liechtenstein,"19,713",86,"19,403"
Grenada,"19,536",237,"19,248"
Nicaragua,"18,491",225,"4,225"
Bermuda,"18,154",148,"17,969"
South Sudan,"17,823",138,"17,335"
Tajikistan,"17,786",125,"17,264"
Equatorial Guinea,"17,012",183,"16,690"
Tonga,"16,182",12,"15,638"
Samoa,"15,925",29,"1,605"
Dominica,"15,747",74,"15,651"
Djibouti,"15,690",189,"15,427"
Marshall Islands,"15,275",17,"15,166"
CAR,"14,913",113,"14,520"
Monaco,"14,608",63,"14,478"
Gambia,"12,508",372,"12,028"
Saint Martin,"11,978",63,"1,399"
Greenland,"11,971",21,"2,761"
Yemen,"11,935","2,157","9,124"
Vanuatu,"11,930",14,"11,894"
Caribbean Netherlands,"11,235",36,"10,476"
Sint Maarten,"10,863",87,"10,773"
Eritrea,"10,169",103,"10,063"
Niger,"9,931",312,"8,890"
Micronesia,"9,759",29,157
Antigua and Barbuda,"9,098",146,"8,923"
Guinea-Bissau,"8,796",175,"8,301"
